RealID;Mean;Var
71;16630.501378712914;2901334.6952484525
72;16630.526149031124;2880926.1283946014
73;16631.23041969475;2887637.1214399375
74;16625.37371752213;2880197.766494953
75;16618.738878839315;2866253.4205049076
76;16605.003941453375;2860336.7276017484
77;16603.83400703226;2847232.1730094305
78;16599.36694943159;2864532.126649535
79;16603.59240528281;2830486.8303674893
80;16607.470143870254;2809252.099308798
81;16612.82582650588;2813667.8904193235
82;16618.298899777405;2806576.8351088394
83;16632.63064464098;2810856.416178936
84;16643.75517617301;2803733.393766493
85;16660.748216875574;2830821.758492194
86;16671.943029264;2829945.506872459
87;16662.179244961724;2840349.055132427
88;16673.767824646107;2863304.9886242915
89;16676.13370469614;2861515.764311339
90;16669.706564008007;2824132.922978483
91;16634.972588967536;2892165.907788779
92;16621.030421874068;2873519.5970661975
93;16603.057677604265;2888103.372745602
94;16601.642314701254;2864645.0117840148
95;16598.275340601867;2863571.340134895
96;16573.520437960644;2907049.2359504537
97;16574.294079499585;2883131.3460268294
98;16578.689938966858;2869098.3643487915
99;16575.7402318432;2859267.0983185065
100;16590.002262432725;2876521.876084786
101;16584.629153022863;2857913.814358717
102;16586.736223451484;2859528.4518213184
103;16593.52223409444;2850131.5472248252
104;16579.847199136922;2852662.494619584
105;16591.745648329284;2868602.4245828385
106;16590.271319041796;2872302.623400486
107;16596.63915403265;2872224.8912584493
108;16590.98046978573;2853674.8260083375
109;16588.61801584306;2817245.244644403
110;16575.041960103204;2844895.0419291784
111;16596.256384920827;2899855.26219214
112;16596.638969653715;2903536.426775814
113;16598.233261035464;2905347.3735673847
114;16598.140066352356;2891778.4791200366
115;16605.818024250653;2896567.004422741
116;16613.4453680907;2899583.09552909
117;16610.65556140842;2888667.052051452
118;16598.983874703885;2914969.7896462213
119;16599.621016267047;2909050.440511747
120;16603.291534410688;2911061.381124991
121;16603.49177279574;2900493.81787686
122;16593.69369855716;2897189.275013944
123;16592.29760742423;2883499.212373199
124;16585.909069361158;2872212.065263858
125;16591.914222791493;2859608.238033799
126;16594.524170343186;2852604.2879579887
127;16596.415154801456;2851191.210679377
128;16589.395592489003;2851594.272482221
129;16598.57583516134;2872265.04000132
130;16590.883460796274;2868501.9424929093
131;16600.77386465324;2871288.2200672845
132;16595.2228941078;2877326.2220369875
133;16600.704290355243;2880191.2044282467
134;16591.54789510508;2891470.6162108765
135;16592.760325593623;2881283.559942725
136;16589.459748946036;2860574.967997222
137;16588.036633615993;2848460.5449892804
138;16581.223536394184;2830927.881980024
139;16576.435815469773;2833490.460489548
140;16577.536506391916;2823461.53606713
141;16588.185487918072;2847804.7864761874
142;16597.9446331039;2865607.4150375184
143;16597.35694643166;2866989.6840345818
144;16577.371581344658;2921693.4033837845
145;16579.097512873926;2916671.781477805
146;16583.08814938291;2915228.0706253615
147;16572.340018243725;2931968.5400152374
148;16564.32341043059;2933859.07744053
149;16553.925564969155;2938408.028586239
150;16549.39958421588;2926741.204716035
151;16550.044532685006;2911573.788554321
152;16551.69384545808;2911751.845546687
153;16543.354254223654;2902924.069112213
154;16551.965298781495;2916965.4253404215
155;16543.880056996277;2908517.870929434
156;16545.45755465385;2913042.9472659756
157;16552.839959950736;2911881.661627296
158;16550.16141355767;2889305.8798712967
159;16555.639273985606;2895097.5768022416
160;16558.26226996673;2901448.9967539907
161;16563.311040282828;2908717.5412677666
162;16563.120232083176;2899581.854698645
163;16569.558940631305;2899884.3625614136
164;16580.10046984721;2903236.273541565
165;16567.395622223907;2924584.043025835
166;16567.616741990343;2922669.6590002794
167;16564.92869035078;2914671.738410173
168;16558.348709869555;2916995.2387177013
169;16564.680032959834;2914953.6673555514
170;16577.995220776193;2948351.2889862885
171;16579.169613762133;2950572.117970031
172;16575.58571955414;2949866.509056384
173;16586.282087767126;2971744.521474633
174;16583.423983452805;2967006.653467878
175;16583.613819425085;2961766.706439975
176;16577.63142242194;2961456.044289925
177;16575.401084119672;2954010.658843744
178;16578.086811991117;2948704.1206751093
179;16574.109383739436;2933319.1293030707
180;16571.849965436904;2927563.5354510853
181;16569.4618749243;2926039.9907298516
182;16568.101254380737;2915265.688864009
183;16564.547487551306;2896339.789038478
184;16573.098911981808;2910923.3772376683
185;16570.44799304714;2895183.9864342157
186;16551.55035486172;2949873.0651143068
187;16549.0948864437;2934936.284227649
188;16543.542818957343;2917196.7794065666
189;16545.431249673657;2920132.5493078674
190;16551.776163939172;2922111.89371508
191;16550.869522824945;2913494.0549449413
192;16555.69090166224;2911299.8692849693
193;16552.95442136294;2914626.985806595
194;16552.5322858883;2914554.4624312054
195;16551.992009935668;2912293.2006679894
196;16554.59182899367;2918988.388030942
197;16550.864969326583;2921458.1939271763
198;16551.97270167151;2908094.2226188
199;16539.93862485209;2925897.8240929316
