"reg_adm","annee","TENURE","tot","superficie_km2","poss_ha","annee.y","ID"
3,1988,"PR",2776000,12984,2.13801601971657,1988,"PR_3"
3,1988,"PU",1054000,11231,0.938473866975336,1988,"PU_3"
3,1989,"PR",2738000,14211,1.92667651819013,1989,"PR_3"
3,1989,"PU",1488365,12405,1.19981056025796,1989,"PU_3"
3,1990,"PR",2738000,14211,1.92667651819013,1990,"PR_3"
3,1990,"PU",1488365,12405,1.19981056025796,1990,"PU_3"
3,1991,"PR",3063200,14211,2.15551333474069,1991,"PR_3"
3,1991,"PU",1484800,12405,1.19693671906489,1991,"PU_3"
3,1992,"PR",3063200,14211,2.15551333474069,1992,"PR_3"
3,1992,"PU",1484800,12053,1.23189247490251,1992,"PU_3"
3,1993,"PR",3063200,14107,2.17140426738499,1993,"PR_3"
3,1993,"PU",1475915,12053,1.2245208661744,1993,"PU_3"
3,1994,"PR",3814100,14107,2.70369320195648,1994,"PR_3"
3,1994,"PU",1475915,12053,1.2245208661744,1994,"PU_3"
3,1995,"PR",3039711,14107,2.15475366839158,1995,"PR_3"
3,1995,"PU",1461249,12053,1.21235294117647,1995,"PU_3"
3,1996,"PR",3039711,14104,2.15521199659671,1996,"PR_3"
3,1996,"PU",1461249,12056,1.21205126078301,1996,"PU_3"
3,1997,"PR",3039711,14104,2.15521199659671,1997,"PR_3"
3,1997,"PU",1461249,12056,1.21205126078301,1997,"PU_3"
3,1998,"PR",3039711,14104,2.15521199659671,1998,"PR_3"
3,1998,"PU",1461249,12056,1.21205126078301,1998,"PU_3"
3,1999,"PR",2940000,14106,2.08421948107188,1999,"PR_3"
3,1999,"PU",1460400,12096,1.20734126984127,1999,"PU_3"
3,2000,"PR",3065200,14307,2.14244775284826,2000,"PR_3"
3,2000,"PU",1468119,12119,1.21141925901477,2000,"PU_3"
3,2001,"PR",2970900,14307,2.07653596141749,2001,"PR_3"
3,2001,"PU",1499290,12119,1.23714002805512,2001,"PU_3"
3,2002,"PR",2922800,14307,2.04291605507793,2002,"PR_3"
3,2002,"PU",1489262,12119,1.22886541793877,2002,"PU_3"
3,2003,"PR",2922800,14222,2.05512586134158,2003,"PR_3"
3,2003,"PU",1489262,12355,1.20539214892756,2003,"PU_3"
3,2004,"PR",2922800,14222,2.05512586134158,2004,"PR_3"
3,2004,"PU",1489262,12355,1.20539214892756,2004,"PU_3"
3,2005,"PR",2922800,14222,2.05512586134158,2005,"PR_3"
3,2005,"PU",1489262,12355,1.20539214892756,2005,"PU_3"
3,2006,"PR",2922800,14222,2.05512586134158,2006,"PR_3"
3,2006,"PU",1261779,12355,1.02126993120194,2006,"PU_3"
3,2007,"PR",2922800,14222,2.05512586134158,2007,"PR_3"
3,2007,"PU",1261779,12355,1.02126993120194,2007,"PU_3"
3,2008,"PR",2922800,14222,2.05512586134158,2008,"PR_3"
3,2008,"PU",1261779,12355,1.02126993120194,2008,"PU_3"
3,2009,"PR",2922800,14222,2.05512586134158,2009,"PR_3"
3,2009,"PU",1183524,12355,0.957931201942533,2009,"PU_3"
3,2010,"PR",2922800,14222,2.05512586134158,2010,"PR_3"
3,2010,"PU",762000,12355,0.616754350465399,2010,"PU_3"
3,2011,"PR",2922800,14222,2.05512586134158,2011,"PR_3"
3,2011,"PU",762000,12355,0.616754350465399,2011,"PU_3"
