TrueTau;EstTau;UncorrVar;CorrVar;Samp;Model
18981.16476502846;20216.522320312943;2216905.6897781836;1813638.8816325509;1773096.9595835637;40541.92204898712
19031.185863112325;15088.111584716635;2526309.5236404156;2335142.6420973493;2286137.9857172826;49004.65638006665
18987.102855837944;18416.48388354986;3502301.6425362113;3287026.788586999;3246368.549614949;40658.23897204967
19038.710353167477;18250.212752207288;3510324.340635298;3239123.567481176;3202508.2266140026;36615.34086717339
18982.33719129014;15748.010279775921;1452246.0162893452;1231056.358228516;1197569.6807389776;33486.677489538444
19012.991314049144;21560.031880163562;3115476.379158357;2775920.4502914175;2726207.82315132;49712.62714009732
18974.47289481462;17266.26047615308;3713178.9345880626;3482104.3521149307;3457882.353571335;24221.998543595895
19020.94146304162;19177.535887408027;4242283.610556031;3946826.87421341;3886051.795558486;60775.07865492394
19042.009203942922;18775.671066026902;3084717.0070843752;2845916.1118383417;2801089.3919920716;44826.71984627005
19001.328309027223;17539.84429360061;3921277.621380009;3603751.7283938336;3570727.0566714285;33024.671722405124
18940.420068754895;17891.056036268208;3393431.7543025576;3116332.4590223543;3077693.2501140865;38639.208908267785
18944.044879828856;16731.402529142804;2709640.658475031;2444818.0382581847;2396737.811469495;48080.22678868985
19021.374197117075;21882.988164749866;2116907.4849937796;1839069.5539151742;1787443.6249917843;51625.928923389874
19003.20825808474;19264.139021891522;4459766.816684623;4112080.6146257943;4087327.0013273056;24753.61329848878
19035.66297363236;18560.87914917072;3796341.115911619;3512407.989213082;3481904.423997787;30503.56521529518
19060.86940381292;23616.577661790318;1848898.7153782982;1471913.310190345;1444348.5670215264;27564.74316881853
19033.990882717204;17430.134861292736;2765909.7564155157;2560406.9761199285;2514247.4271964757;46159.54892345285
19023.92766377148;18219.029814616904;2873686.407339404;2639453.098363709;2595063.0715803336;44390.026783375535
18966.362530160575;20421.160218674857;3806564.80336009;3548826.2359350654;3506111.529544427;42714.70639063837
18965.979917237844;19109.101371158078;3447767.38560043;3219052.7228743946;3178608.9520018715;40443.77087252308
18930.674644468665;16410.967273020848;1797050.1163606963;1595904.3130171022;1557049.8982309236;38854.41478617862
18993.765903865307;19848.088237749533;2780003.752344438;2531119.8394275904;2478293.603983814;52826.23544377647
19016.79776076574;17392.650269139172;3114036.147441288;2837969.7656087964;2800041.763790952;37928.00181784434
19042.158713288234;17751.95757075223;1781361.5167792193;1568689.2125403741;1535673.9851551387;33015.227385235485
19041.465600480216;18364.433624585286;3582414.8126100292;3307812.479761746;3253958.492372031;53853.98738971492
18933.05935622859;19381.804794852353;3608430.96138675;3306209.374895478;3257382.502447628;48826.87244785018
19034.054985950108;19912.43312787955;3578704.96835972;3268256.2884588465;3245344.441470151;22911.846988695674
19006.301250652043;16779.643795833148;3304273.6860293075;3097132.5015509548;3077679.512350209;19452.98920074571
19077.620448667472;17151.567410073614;3417568.806889465;3170805.817921711;3129852.232036312;40953.58588539902
