RealID;Mean;Var
161;18579.29215724587;1563621.3469710588
162;18575.155321417322;1561474.458307778
163;18570.260999070746;1559978.5229005977
164;18569.295027056916;1554156.8411690048
165;18575.115915661754;1557578.4575634392
166;18581.205144717445;1562866.4958001703
167;18576.462941492147;1563993.6951376568
168;18579.020381652947;1566089.4224934462
169;18574.503211711664;1566720.3950208412
170;18573.909666424526;1564517.6761988152
171;18574.332710596158;1558889.2095280471
172;18572.85319778713;1559625.6731680108
173;18573.981676646534;1558572.0092064203
174;18566.843453099656;1561478.497325377
175;18570.619522393612;1562372.678149968
176;18568.410154456302;1560266.9587358653
177;18569.726051885395;1554848.3561385963
178;18571.582719071594;1553775.7566797235
179;18568.7405362143;1554454.6244462277
180;18560.806826812193;1562406.8360133911
181;18563.152799162428;1561622.846769202
182;18568.481096177213;1567239.9164411388
183;18573.00968466153;1568182.1355015454
184;18573.45353008012;1567796.6867709463
185;18567.956082852706;1572251.0062803791
186;18558.322692687063;1583160.527318418
187;18565.065098650568;1590324.954638121
188;18562.256295362444;1589049.786263875
189;18565.945772933064;1589651.254639175
190;18560.225763708375;1589222.7526466197
191;18565.667813436157;1590367.6136044953
192;18565.986895695707;1589531.930290441
193;18567.13528156697;1585660.6874826574
194;18561.75308033839;1584323.1904037872
195;18558.63656166741;1585526.4114047424
196;18558.11935414328;1581486.0403977863
197;18565.515685618662;1589105.2089357274
198;18564.71106185784;1586609.4418683778
199;18562.89898733793;1584916.172237004
200;18560.69920596556;1582637.897701996
201;18560.414508444028;1577567.7023737722
202;18561.09262741754;1575620.8619066305
203;18563.4855039899;1572467.7232081005
204;18565.110336383314;1572293.9467520863
205;18560.712498418812;1573074.1503946008
206;18558.547094728216;1572031.1175510443
207;18558.561414068947;1570838.5893986728
208;18555.45519056786;1570848.772705968
209;18553.08887238611;1566063.780034571
210;18555.592870547425;1567141.1451600913
211;18557.186878955414;1567411.7773555794
212;18557.142151171807;1562946.2752937474
213;18555.444241365494;1559404.310590423
214;18552.932503719156;1558325.856030408
215;18557.501146348317;1561865.7280440396
216;18553.916743770693;1561888.161167148
217;18557.43087237703;1562870.445225985
218;18556.586461580402;1561367.7261094097
219;18551.71154882786;1562674.6617496088
220;18548.173183094692;1563196.6625875758
221;18549.873286393293;1561648.5458014049
222;18552.045369686286;1560708.8791549457
223;18555.07136730634;1559802.8715211751
224;18553.56981033642;1558032.2360794935
225;18554.14031458436;1557638.4277647184
226;18550.709493530056;1555969.1780830938
227;18551.481087061547;1553750.064338275
228;18548.941603079576;1551887.5229494555
229;18547.473867116285;1548893.2168418476
230;18542.514982444416;1550231.4390370038
231;18545.448682174676;1550935.7843852122
232;18546.87263379267;1551350.8891193834
233;18548.73460162458;1551123.154451415
234;18546.693718575054;1549255.4551819223
235;18547.851758013112;1549134.2770249478
236;18547.875160416825;1546383.3661060794
237;18545.625260986257;1543937.5042558636
238;18542.9161669892;1543563.770589725
239;18540.70990311764;1542273.7585152898
240;18542.60328481786;1541539.4441673378
241;18544.241652418794;1541649.07204609
242;18543.53692203019;1538318.149341034
243;18537.995898681886;1542772.2878971302
244;18534.39187845575;1542350.6855318553
245;18535.955526161804;1540474.1360097504
246;18534.112578186945;1542148.545725486
247;18531.63194190012;1543793.6028248356
248;18529.05917377268;1539950.2172578804
249;18534.272563057202;1544796.230303839
250;18535.565290859486;1545841.3452660574
251;18532.303250295936;1545558.2736273557
252;18527.17953300498;1551854.858287517
253;18531.71693537889;1555958.5358353823
254;18533.14181456714;1556188.2414182317
255;18531.86260492004;1554755.0282293474
256;18537.776239563103;1563201.4019816169
257;18539.672115090278;1562476.0871675343
258;18542.905058902234;1564003.4847098729
259;18545.58304270699;1565781.0303653418
260;18542.832908926728;1564948.629497228
261;18545.091245531792;1563901.6534663916
262;18545.24482847094;1561375.1564589925
263;18545.99792722463;1560893.2462102647
264;18545.658217256794;1559285.7168785215
265;18547.4506853629;1557979.3250622074
266;18543.25986095095;1557913.920618793
267;18540.74665053257;1557839.6042578598
268;18544.042108939877;1560612.5899543979
269;18541.316533368994;1560433.094862806
270;18541.819333581152;1559345.4277658658
271;18539.944257054023;1558547.311467481
272;18541.088351974824;1555956.1583028066
273;18536.376326341586;1559589.1476709747
274;18535.17572029934;1559363.4161379808
275;18539.49920446431;1564664.0957121137
276;18536.17564446393;1562161.892138519
277;18537.40274117867;1562042.9652998692
278;18538.20584506631;1560002.2290635773
279;18540.742059364868;1561534.3725133429
280;18536.893973875172;1562762.7816397306
281;18535.741713355445;1560587.0371963147
282;18536.476054483992;1560285.9974295564
283;18535.801372743757;1556601.7794428677
284;18534.438872299594;1555026.3793389967
285;18538.111157255265;1556600.5184085397
286;18533.242159552246;1560104.800976601
287;18533.27148982517;1559819.1676599234
288;18532.880440503857;1559543.795401962
289;18528.799873398246;1561766.3653872765
290;18528.40800362556;1562133.7775738002
291;18525.795860999267;1562768.8688221816
292;18527.07186557187;1560718.4082359055
293;18525.621921905928;1558590.3533677515
294;18526.72539231616;1556991.04309353
