VegPotID;SubModuleID;ParameterEstimate
4;3;0.62700217751713
4;3;-0.2545241247726
4;3;-0.1159449877222
4;3;0.29042265716988
4;3;-0.2221230197041
4;3;1.99820257629392
4;3;0.1961128448198
4;3;0.28699723345004
4;3;0.51647883732757
4;3;0.3417755149828
4;3;-0.1628792160709
4;3;0.81550795300449
4;3;0.08067163103701
4;3;0.09534150106532
4;3;-0.0007299861872
4;4;-2.7170406105679
4;4;1.41152638452138
4;4;1.36119433732864
4;4;1.49254610990878
4;4;0.15462854359847
4;4;-3.7286461521649
4;4;-1.6859056183668
4;4;0.21123681759833
4;4;0.91075280683668
4;4;1.93291065441167
4;4;-3.4310535273381
4;4;3.49635733674823
4;4;-0.36818734618
4;4;2.60324793132751
4;4;1.45975198161526
4;4;2.01663383604154
4;4;1.84096343870472
4;4;0.32868217039205
4;4;0
4;4;-0.1264808627279
4;4;-0.0942927567772
4;4;-0.0775102334631
4;4;-0.1872107383107
4;4;-0.0358059699496
4;4;-0.0373217135313
4;4;-0.0148853332454
4;4;-0.0704776967959
4;4;-0.0539751496784
4;4;-0.0806740666923
4;4;-0.0553161130431
4;4;-0.0093972817838
4;4;-0.0748295185824
4;4;-0.1177153044397
4;4;-0.0837338636472
4;4;-0.0316762650539
4;4;-0.0134040317524
4;4;-0.0476377805922
4;4;-0.0086803274381
4;4;0.10463776426227
4;4;0.08423007129261
4;4;0.42901026564494
4;4;0.96773499188981
4;4;0.52372325303954
4;4;-0.0285206772796
4;4;0.31819677363758
4;4;-0.0220379590001
4;4;0.87297492480591
4;4;-1.1841211603878
4;4;0.30584305249534
4;4;-0.6408059652818
4;4;0.36727332848845
4;4;-0.0740074187951
4;4;-0.3776261537577
4;4;0.20123961077381
4;4;0.09134370845189
4;4;1.46512601239562
4;5;-0.0679394536626
4;5;0.65921782926581
4;5;0.92068324174741
4;5;0.90813706137194
4;5;1.23993528874139
4;5;0.66716319661783
4;5;1.08342550960231
4;5;0.39284666321172
4;5;0.61963074428882
4;5;0.80477045704354
4;5;0.70391249139193
4;5;0.84770993455488
4;5;0.91355315069513
4;5;0.59165051073127
4;5;0.86905009543967
4;5;0.69252005991901
4;5;0.18537968354891
4;5;0.94557697735318
4;5;0
4;5;-0.0046072983332
4;5;-0.0199691398756
4;5;-0.0366008530557
4;5;-0.0786745274073
4;5;-0.001091577904
4;5;-0.0389322487635
4;5;-0.0076254249197
4;5;-0.0106769359926
4;5;-0.02266520927
4;5;-0.0101283465655
4;5;-0.0271987975723
4;5;-0.0244543959803
4;5;-0.0336781208542
4;5;-0.0133277216764
4;5;-0.0203337044107
4;5;0.00272976373141
4;5;-0.0248246216795
4;5;-0.0064963172763
4;5;0.17615389450055
4;5;0.58006946216567
5;1;-2.1597550009359
5;1;-0.5652594337831
5;1;-0.8112832074041
5;1;0
5;1;0.0843357932793
5;1;-1.864738622354
5;1;0.06264949487387
5;1;0.01144277140655
5;1;-0.0140759105692
5;1;0.00139835510442
5;1;-0.5193690097858
5;1;1
