TrueTau1;EstTau1;UncorrVar1;CorrVar1;Samp1;Model1;TrueTau2;EstTau2;UncorrVar2;CorrVar2;Samp2;Model2;TrueTau3;EstTau3;UncorrVar3;CorrVar3;Samp3;Model3;TrueTau4;EstTau4;UncorrVar4;CorrVar4;Samp4;Model4;TrueTau5;EstTau5;UncorrVar5;CorrVar5;Samp5;Model5;TrueTau6;EstTau6;UncorrVar6;CorrVar6;Samp6;Model6;TrueTau7;EstTau7;UncorrVar7;CorrVar7;Samp7;Model7
88579.86087336967;82997.07106915071;4.1502835685252205E7;4.1494793573987365E7;4.145499812575584E7;39795.44823152572;7222.470841546881;6733.6926761491195;299774.8215238196;290199.32251889305;274567.0364431796;15632.286075713462;4671.210695870178;4415.573004642516;192157.62319228626;166580.877170298;119914.83097922668;46666.046191071306;1189.0924802863697;1287.1733162472165;76572.37035356405;55143.56140272288;9619.368543556971;45524.19285916591;867.285589410254;615.4075186037062;14665.721295193554;11175.032848895902;3643.5499926265306;7531.482856269371;402.60599521011625;321.05565896471376;9880.73031201125;6102.898455465089;1049.4531637336565;5053.445291731432;92.2760807699444;94.48317769096599;756.157216031455;447.75345039814067;94.65209585006629;353.10135454807437
88581.69437861975;85838.5104555867;4.161930703220785E7;4.160649760890557E7;4.157231094501317E7;34186.663892395794;7241.669211298948;7123.798288116064;318061.36139173614;304455.7388109543;288064.9965859713;16390.742224982998;4726.1865456605965;4306.0172424396815;179771.22089539995;166926.42270689222;112677.30006870581;54249.12263818641;1156.017020410522;1576.3559734068529;87692.18225334471;79528.43667520603;13910.524384134598;65617.91229107144;889.7641374019453;763.889499988221;26735.867001302544;17792.53649650044;4344.837784403697;13447.698712096742;378.441056798985;375.7389287085989;18167.45246660204;10655.152543139986;1084.261118516557;9570.891424623429;91.26045102687466;101.79664357270163;742.4954880946747;505.0599617348274;129.1704195487071;375.8895421861203
88592.09149106978;89814.77655794934;4.918870012695319E7;4.9169819819104664E7;4.913057892891888E7;39240.89018578082;7208.342532895149;7107.749584970472;314172.95262003015;310565.234324984;293875.49761428527;16689.73671069875;4664.230393080844;4533.837941731166;204118.72678307095;163633.65803613688;120520.0077567825;43113.65027935439;1157.3349074769417;1260.5471621198733;89293.92515663167;57570.29545337318;11698.968368990725;45871.32708438246;874.7123343923663;719.3552838092701;18951.870241401855;13218.875242046925;4284.537024934541;8934.338217112385;417.902563200885;443.1251321582867;16282.866609145538;8884.322903220764;1591.0397590529199;7293.2831441678445;94.16233474412874;150.8840651518845;1482.1581455516393;1036.2481399680187;321.79132013520007;714.4568198328185
88561.95118585594;84045.69722395635;5.47967026392759E7;5.4778414754182644E7;5.4743122786551416E7;35291.96763122827;7228.924123862127;6872.354844368766;399783.9532371632;392593.8294784254;375475.66567749955;17118.16380092583;4715.3666951920795;4140.0133578689;180922.29241112317;155475.05295008083;122524.67247489019;32950.38047519064;1146.9985074752192;1360.9521041769942;77390.72698501195;64685.944399448024;17145.281737573547;47540.66266187448;878.0730205559995;985.6121155010627;42899.52472752768;36312.63453415638;13472.038161103426;22840.59637305295;393.6095656871142;295.94506693538943;24446.090040768064;18606.178989697302;1254.475998368353;17351.702991328948;94.87633495174421;89.83219988641748;631.6257525442004;378.45794329586283;94.64857258199599;283.8093707138668
88577.94549326834;80182.17225618304;4.3692849880154915E7;4.368351430314336E7;4.365035304406796E7;33161.25907540321;7245.376113167049;6739.737651197364;345879.42563952506;332753.19394643407;317959.6253484536;14793.568597980484;4700.846894936467;4250.734674746742;181633.9902929849;146316.52330816348;115158.09007891928;31158.433229244198;1167.736784685546;1200.6206918784362;71440.78362661907;44337.11219833887;12269.318947644804;32067.79325069407;864.6940782525617;733.0628370961502;24299.735655094206;15817.957729910255;6397.650681472356;9420.307048437899;419.86297292057765;490.98357659158626;16206.863318163169;9940.428927063298;2997.158767231137;6943.270159832162;92.23538237185656;64.33587088445695;599.385823319829;241.63698118251446;57.68491911012285;183.9520620723916
88602.04549451622;85872.13105583792;4.91446386820734E7;4.9126144602501646E7;4.908917251815262E7;36972.084349028766;7203.08169571604;7023.786437910876;361656.8311014844;355040.1946231268;339034.00873876654;16006.185884360282;4656.909265052635;4669.737899045579;173779.88197650295;167109.755383876;138518.21842160507;28591.53696227094;1181.1773847549211;1109.8485117130133;70754.73549904242;40062.27561286638;10476.561155415939;29585.714457450445;885.1983700127972;768.4602735768144;21951.173129365845;17667.95470563107;6696.876035557902;10971.078670073166;383.34633477675885;391.24729185915294;26251.691060560188;10184.803225858275;1793.8515869128105;8390.951638945466;96.45034111895141;84.49246171631994;499.1304851188546;378.65945329828963;111.70189386201939;266.95755943627023
88593.69332188374;82506.28163333077;3.9711426193476215E7;3.969475754436578E7;3.966102282165481E7;33734.722710967064;7195.053659116982;6584.948099843573;284732.33881002385;270819.7320927378;257095.15426069035;13724.57783204742;4683.80532393396;4500.751637011664;192992.84418558632;153633.88173665182;122794.17911902888;30839.70261762294;1146.1286861190015;881.4803819260283;58806.96408590798;23481.59896694355;4664.6888519478325;18816.91011499572;869.1281381181507;699.0759479853444;14631.742413750773;11430.32088831015;4372.51837830406;7057.80251000609;401.8228859676169;414.74366961831845;14395.295531751304;8177.491340083563;1557.360343064754;6620.1309970188095;94.16862497827985;88.89646330222322;799.2617352820863;398.16927745664276;113.00265537274187;285.1666220839009
88573.69029348709;94873.06150424498;3.668961912337459E7;3.668563331871443E7;3.663809656261384E7;47536.756100595;7219.933995212747;7641.706954156705;279951.3208263732;269252.3363290706;250168.08632355835;19084.250005512295;4670.368243898297;4634.806503840887;166264.68633187516;137661.58267046584;92628.32483320184;45033.257837264;1168.378061322446;1684.1067447943765;99405.87797316683;68998.54382080598;12789.925149932575;56208.6186708734;881.7020061502768;1013.2344555055541;39798.236682280745;35833.327211411604;7568.403793050804;28264.9234183608;404.1220103243798;218.22812041847288;25121.479801098063;19360.483252349153;385.6607414010986;18974.822510948055;95.36367351737985;91.3311295974192;727.2929645051331;431.68519252521423;80.57106211155487;351.1141304136594
88570.46418992389;80233.26624595666;3.0736811290194552E7;3.072227369063695E7;3.0680033974810272E7;42239.71582667902;7257.993262034381;6656.486539877218;239845.63391714595;228594.6440482526;213416.62119669176;15178.022851560847;4695.413077461618;4152.447877070219;125471.23310173841;123509.14298393726;85456.70492728958;38052.438056647676;1183.432113738849;1055.1504732111011;46215.81688123737;37350.12831543465;6476.581101604592;30873.54721383006;880.4577264785999;921.739008757363;25584.143630933453;21557.69503145635;6650.496598289996;14907.198433166353;398.42936893381477;467.1322885289754;23724.051610298156;14905.403886161977;1776.0250227768634;13129.378863385115;100.2609754214883;60.016892309568405;308.4676444323281;185.28545883915655;44.48575451756638;140.79970432159018
88560.45930524361;98899.23723038871;3.3237676945151757E7;3.3214893587227505E7;3.3169743630913403E7;45149.956314101815;7205.041930858336;8063.949354525477;248511.19722506747;235036.30838015414;215969.64584033136;19066.662539822777;4692.742058120684;5228.094383164463;211049.53279878135;164128.76975415437;90631.65406839974;73497.11568575464;1151.9483457096994;1322.098180039846;93658.24391010459;61725.2251304462;5949.6957622966165;55775.52936814958;880.8998294948403;960.0750906127976;25190.03177334818;19456.151677669714;5629.300377571273;13826.85130009844;385.88733569583684;431.4218943476486;19253.39295508936;13119.204411030536;1160.4109068281014;11958.793504202435;93.56436183725056;122.25980636071623;1046.9946524908994;632.4702643865637;166.89470890304077;465.5755554835229
