RealID;Mean1;Var1;Mean2;Var2;Mean3;Var3;Mean4;Var4;Mean5;Var5;Mean6;Var6;Mean7;Var7
38;61625.46911333347;1.163940898420866E8;5158.3075726707175;841661.6244888036;3142.990971096854;286217.95058286656;987.0203141431901;48135.76416890909;659.406721494358;32770.815095524464;263.92704603113503;6110.99059175261;104.96251990517851;1206.7827738961992
39;61631.5391159829;1.1644402069217879E8;5163.425161426561;844296.017598979;3139.2809986111833;285337.9425829379;997.8132805021395;52665.624248509324;657.6192732774801;32050.576584827184;263.4117730281202;5815.295649575591;105.29983600763647;1174.156448518138
40;61635.0363697093;1.1641883221573044E8;5163.854742568301;844277.0740298253;3138.4706826739643;286125.15086400934;995.2365222377;50907.98849957607;664.1179792735517;33651.47693229502;260.7818150803393;5813.562941051618;105.24774330274319;1164.1328389759308
41;61631.2191229484;1.1639191040442663E8;5165.093737562278;845041.4379223116;3130.163321890153;287678.5183607029;1003.2012040879548;52990.994204921364;664.8071999762701;33735.258351459954;261.95901890983674;5668.161608855907;104.96299269806123;1147.1329150474128
42;61635.79153974088;1.1642247970442621E8;5162.43660052039;842723.2275544171;3133.715782866082;287391.6959014871;996.1621147970603;53733.477379981334;661.5294699945864;33431.33149593383;265.0502182806268;6000.599774087447;105.97901458203246;1192.8338994460019
43;61629.06116505381;1.1641318291581683E8;5161.969740076111;843551.6679450559;3135.7602127983323;285686.70255929866;992.56883291322;53815.78279031263;662.2668784556248;32500.217846722822;265.4069875157577;5900.121266704488;105.96682839317349;1176.980622232123
44;61633.175811236564;1.1647148191078804E8;5165.1265280235875;844945.3265805597;3136.997303465657;285007.7534696441;994.9220619268325;53428.499950851874;665.0129334235572;32679.361418489898;263.00436718111837;6014.253464665255;105.18986202642141;1154.5903937449966
45;61636.99980729868;1.1649059779447082E8;5165.539500220185;845147.10913429;3142.635848796708;288523.87787721126;990.5415384927586;51860.787352632404;665.4710488227923;32730.28475920174;262.23151781371354;5910.49555037765;104.65954629421013;1156.1574774554726
46;61632.947822025075;1.1648143143426706E8;5160.682238745684;846304.0585770654;3141.1896397542205;288599.0940479285;991.1579221048536;51315.35482365183;658.5392715399768;34490.18389889416;263.7826086983557;5561.051674051077;106.01279664827547;1226.0158784445007
47;61636.18131603446;1.1648523633052234E8;5162.74930432758;845850.8772838445;3141.2099690376676;287103.57063622103;995.9915021288327;52517.99557753615;651.8571763683092;36023.59492339257;267.9685744025093;6311.237038960886;105.72208239025917;1209.8804771860257
48;61635.49922075032;1.1648614468053597E8;5161.4210845466605;845652.987642291;3141.83743893824;287549.1268254976;997.0268138404731;50863.064368281455;644.6217184244024;37684.27527496082;272.01102644333855;7068.347515440086;105.9240869002043;1179.8132968407
49;61635.33395220695;1.1647091988279153E8;5159.419848518955;844107.2895776203;3140.1139884041454;285352.0961477104;994.797531581005;50396.67548979343;644.2475503910075;37211.5871915361;274.45404200694935;7080.169797034851;105.80673613584602;1159.840424192362
50;61636.90640841746;1.1646524988029438E8;5160.604525846873;844588.3423333387;3143.831583180732;285455.8688290432;992.4733605350709;49723.65199869017;644.9507304869868;37270.99433529937;273.74960322237746;6940.54088359757;105.59924842170402;1144.3405671226753
51;61634.39438820723;1.164679768469923E8;5158.081401020888;843746.5222523703;3144.5095733995863;284878.2063099132;991.92208587482;48889.0693916615;644.5693915727094;36702.72356243752;271.99434699405833;6889.04512288458;105.08600317971141;1134.305767510758
52;61635.039155055405;1.1644101230478974E8;5155.9626310458225;842466.3829904401;3138.415803510104;285211.08373755374;994.7213594079396;48462.44677003955;646.3882513070665;36669.48023410088;271.9848840043635;6699.447493100612;104.45233281634712;1117.4921074802505
53;61629.25052209451;1.1644513643148136E8;5160.254963682722;845552.0075771045;3140.6165491262523;285660.7360670665;996.2745129190564;48087.8731407024;643.9822893643442;36502.3382324351;274.26462968647905;6928.182599207711;105.1169825865876;1135.17975419601
54;61622.93546021052;1.1642656384738505E8;5161.153244896016;845728.8444996487;3154.1134381920924;296649.51200390694;984.6312543666762;54657.56901173789;642.2468899766172;36319.06124543783;275.7280850399182;6424.667178970411;104.43357732070999;1130.7196287775332
